siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 00:00",20
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 00:00",0.7
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 00:00",0.19
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 00:00",52
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 00:00",24
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 00:00",4
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 01:00",6
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 01:00",x
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 01:00",0.17
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 01:00",54
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 01:00",21
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 01:00",3
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 02:00",x
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 02:00",0.17
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 02:00",53
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 02:00",23
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 02:00",3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 02:00",11
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 03:00",0.16
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 03:00",51
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 03:00",0
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 03:00",27
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 03:00",3
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 03:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 06:00",12
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 06:00",0
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 06:00",0.23
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 06:00",41
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 06:00",32
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 06:00",7
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 07:00",0.3
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 07:00",0.28
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 07:00",39
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 07:00",33
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 07:00",11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 07:00",20
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 08:00",26
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 08:00",x
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 08:00",0.42
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 08:00",38
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 08:00",68
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 08:00",13
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 09:00",1.1
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 09:00",27
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 09:00",10
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 09:00",53
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 09:00",41
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 09:00",0.22
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 10:00",0.21
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 10:00",x
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 10:00",58
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 10:00",0.9
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 10:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 10:00",x
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 11:00",0.9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 11:00",26
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 11:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 11:00",x
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 11:00",x
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 11:00",0.18
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 12:00",x
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 12:00",26
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 12:00",x
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 12:00",45
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 12:00",34
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 12:00",x
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 13:00",25
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 13:00",1.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 13:00",0.19
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 13:00",36
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 13:00",9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 13:00",22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 14:00",0.8
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 14:00",27
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 14:00",8
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 14:00",38
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 14:00",32
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 14:00",0.19
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 15:00",22
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 15:00",1.2
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 15:00",0.24
17,桃園,桃園市,3,臭氧,O3,ppb,"2026-06-01 15:00",33
17,桃園,桃園市,4,懸浮微粒,PM10,μg/m3,"2026-06-01 15:00",31
17,桃園,桃園市,7,二氧化氮,NO2,ppb,"2026-06-01 15:00",9
17,桃園,桃園市,2,一氧化碳,CO,ppm,"2026-06-01 16:00",0.28
17,桃園,桃園市,1,二氧化硫,SO2,ppb,"2026-06-01 16:00",1.9
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,"2026-06-01 16:00",16
